PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2018;6;1;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;;N;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2018;6;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;;N;;N;;N;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2018;6;1;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2018;6;1;10;V;9;V;7;V;6;V;6;V;6;V;;N;;N;;N;;N;3;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V
28;102;1;10;28102001_10_49;2018;6;1;4;V;12;V;14;V;11;V;14;V;14;V;;N;21;V;5;V;5;V;16;V;15;V;15;V;9;V;13;V;10;V;6;V;12;V;14;V;14;V;18;V;6;V;7;V;10;V
28;102;1;12;28102001_12_8;2018;6;1;12;V;11;V;9;V;8;V;8;V;8;V;;N;;N;;N;;N;5;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V
28;102;1;14;28102001_14_6;2018;6;1;77;V;74;V;66;V;62;V;63;V;58;V;44;V;33;V;;N;;N;;N;92;V;98;V;102;V;106;V;108;V;106;V;102;V;87;V;83;V;84;V;79;V;88;V;85;V
28;123;2;7;28123002_7_8;2018;6;1;4;V;2;V;2;V;1;V;13;V;15;V;15;V;23;V;14;V;6;V;4;V;2;V;1;V;1;V;3;V;4;V;2;V;3;V;4;V;9;V;6;V;3;V;2;V;2;V
28;123;2;8;28123002_8_8;2018;6;1;50;V;38;V;21;V;12;V;42;V;48;V;40;V;35;V;30;V;20;V;13;V;8;V;5;V;7;V;13;V;18;V;12;V;18;V;30;V;53;V;35;V;18;V;8;V;9;V
28;123;2;10;28123002_10_49;2018;6;1;28;V;20;V;18;V;15;V;13;V;28;V;31;V;24;V;22;V;16;V;11;V;7;V;3;V;7;V;7;V;12;V;13;V;8;V;11;V;12;V;15;V;17;V;18;V;6;V
28;123;2;12;28123002_12_8;2018;6;1;57;V;41;V;23;V;14;V;61;V;72;V;64;V;70;V;52;V;29;V;19;V;11;V;7;V;9;V;17;V;24;V;15;V;23;V;36;V;67;V;44;V;23;V;11;V;11;V
28;123;2;14;28123002_14_6;2018;6;1;13;V;23;V;34;V;48;V;17;V;11;V;18;V;25;V;36;V;63;V;76;V;92;V;100;V;106;V;100;V;94;V;95;V;87;V;68;V;47;V;65;V;71;V;77;V;77;V
28;123;2;14;28123002_14_8;2018;6;1;13;V;23;V;32;V;47;V;18;V;12;V;18;V;25;V;36;V;62;V;75;V;90;V;99;V;104;V;99;V;93;V;95;V;87;V;69;V;47;V;63;V;69;V;74;V;74;V
28;13;2;7;28013002_7_8;2018;6;1;1;V;1;V;1;V;1;V;1;V;4;V;6;V;8;V;6;V;4;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2018;6;1;10;V;13;V;10;V;7;V;7;V;12;V;12;V;18;V;17;V;12;V;9;V;6;V;5;V;4;V;5;V;7;V;6;V;8;V;11;V;15;V;20;V;12;V;8;V;4;V
28;13;2;10;28013002_10_49;2018;6;1;14;V;6;V;16;V;21;V;18;V;14;V;17;V;11;V;7;V;5;V;6;V;6;V;3;V;2;V;4;V;6;V;5;V;5;V;7;V;5;V;11;V;11;V;13;V;8;V
28;13;2;12;28013002_12_8;2018;6;1;12;V;15;V;12;V;9;V;9;V;18;V;21;V;30;V;26;V;17;V;12;V;9;V;7;V;6;V;7;V;9;V;9;V;11;V;13;V;17;V;22;V;14;V;10;V;6;V
28;13;2;14;28013002_14_6;2018;6;1;69;V;45;V;32;V;27;V;23;V;15;V;18;V;32;V;52;V;66;V;82;V;99;V;107;V;113;V;112;V;109;V;102;V;92;V;82;V;73;V;63;V;74;V;78;V;93;V
28;133;2;7;28133002_7_8;2018;6;1;1;V;1;V;1;V;1;V;1;V;6;V;9;V;5;V;1;V;6;V;13;V;46;V;9;V;14;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2018;6;1;3;V;4;V;3;V;5;V;4;V;18;V;20;V;12;V;5;V;8;V;11;V;30;V;8;V;11;V;3;V;4;V;4;V;3;V;5;V;8;V;5;V;4;V;4;V;3;V
28;133;2;10;28133002_10_49;2018;6;1;8;V;11;V;15;V;14;V;14;V;13;V;21;V;22;V;17;V;13;V;8;V;7;V;7;V;5;V;6;V;5;V;3;V;4;V;6;V;8;V;8;V;13;V;8;V;7;V
28;133;2;12;28133002_12_8;2018;6;1;5;V;6;V;5;V;7;V;6;V;27;V;34;V;19;V;7;V;17;V;30;V;70;V;22;V;33;V;5;V;6;V;6;V;5;V;7;V;11;V;7;V;6;V;6;V;5;V
28;133;2;14;28133002_14_6;2018;6;1;63;V;52;V;59;V;43;V;45;V;21;V;16;V;36;V;50;V;62;V;72;V;70;V;72;V;68;V;74;V;76;V;74;V;79;V;77;V;69;V;68;V;68;V;68;V;65;V
28;14;2;7;28014002_7_8;2018;6;1;1;V;1;V;1;V;1;V;2;V;25;V;18;V;6;V;12;V;8;V;3;V;3;V;2;V;1;V;2;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2018;6;1;15;V;15;V;15;V;18;V;34;V;42;V;35;V;24;V;27;V;18;V;14;V;13;V;8;V;7;V;8;V;7;V;10;V;10;V;9;V;24;V;16;V;8;V;5;V;4;V
28;14;2;10;28014002_10_49;2018;6;1;11;V;14;V;13;V;14;V;18;V;21;V;29;V;21;V;20;V;25;V;22;V;10;V;11;V;8;V;7;V;13;V;26;V;34;V;18;V;7;V;16;V;26;V;20;V;9;V
28;14;2;12;28014002_12_8;2018;6;1;17;V;17;V;17;V;20;V;37;V;79;V;62;V;33;V;45;V;29;V;19;V;18;V;11;V;9;V;12;V;9;V;13;V;13;V;11;V;26;V;18;V;10;V;7;V;6;V
28;14;2;14;28014002_14_6;2018;6;1;38;V;37;V;33;V;31;V;12;V;3;V;20;V;49;V;43;V;52;V;69;V;87;V;98;V;103;V;105;V;105;V;101;V;95;V;88;V;66;V;82;V;89;V;92;V;91;V
28;148;4;7;28148004_7_8;2018;6;1;2;V;2;V;5;V;12;V;26;V;43;V;43;V;12;V;5;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2018;6;1;37;V;36;V;40;V;40;V;47;V;40;V;40;V;33;V;25;V;16;V;15;V;12;V;11;V;14;V;14;V;15;V;14;V;14;V;16;V;18;V;16;V;12;V;11;V;12;V
28;148;4;9;28148004_9_49;2018;6;1;17;V;16;V;17;V;16;V;17;V;17;V;18;V;21;V;12;V;7;V;5;V;5;V;2;V;5;V;8;V;6;V;6;V;8;V;4;V;6;V;8;V;16;V;15;V;8;V
28;148;4;10;28148004_10_49;2018;6;1;15;V;16;V;15;V;19;V;24;V;24;V;24;V;20;V;21;V;18;V;16;V;15;V;11;V;8;V;16;V;11;V;14;V;17;V;10;V;14;V;16;V;13;V;16;V;13;V
28;148;4;12;28148004_12_8;2018;6;1;40;V;39;V;47;V;59;V;87;V;106;V;105;V;51;V;32;V;20;V;18;V;15;V;14;V;17;V;17;V;18;V;16;V;16;V;18;V;20;V;18;V;14;V;13;V;14;V
28;148;4;14;28148004_14_6;2018;6;1;18;V;13;V;8;V;2;V;1;V;1;V;1;V;18;V;39;V;61;V;67;V;79;V;89;V;89;V;92;V;90;V;89;V;85;V;79;V;75;V;78;V;66;V;70;V;77;V
28;16;1;1;28016001_1_38;2018;6;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;6;28016001_6_48;2018;6;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;16;1;7;28016001_7_8;2018;6;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2018;6;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;6;V;5;V;4;V;4;V;3;V;6;V;7;V;6;V;5;V;5;V;4;V;3;V;3;V;3;V;2;V;2;V
