PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2018;2;1;2;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;3;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V
28;102;1;6;28102001_6_48;2018;2;1;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V
28;102;1;7;28102001_7_8;2018;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;3;V;3;V;3;V;2;V;4;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2018;2;1;18;V;13;V;15;V;14;V;9;V;7;V;7;V;6;V;6;V;6;V;7;V;11;V;12;V;12;V;18;V;26;V;24;V;13;V;5;V;2;V;2;V;4;V;3;V;3;V
28;102;1;10;28102001_10_49;2018;2;1;26;V;7;V;12;V;12;V;7;V;10;V;8;V;8;V;7;V;1;V;10;V;23;V;27;V;40;V;13;V;13;V;18;V;6;V;15;V;25;V;11;V;4;V;1;V;1;V
28;102;1;12;28102001_12_8;2018;2;1;20;V;15;V;17;V;16;V;11;V;9;V;9;V;8;V;8;V;8;V;9;V;15;V;16;V;17;V;22;V;30;V;30;V;16;V;7;V;4;V;4;V;6;V;5;V;5;V
28;102;1;14;28102001_14_6;2018;2;1;39;V;42;V;40;V;41;V;47;V;49;V;48;V;49;V;46;V;46;V;40;V;30;V;32;V;36;V;46;V;47;V;52;V;64;V;75;V;78;V;78;V;73;V;71;V;72;V
28;123;2;7;28123002_7_8;2018;2;1;66;V;86;V;47;V;39;V;61;V;87;V;189;V;299;V;220;V;354;V;211;V;62;V;38;V;59;V;48;V;50;V;24;V;31;V;12;V;15;V;12;V;8;V;4;V;3;V
28;123;2;8;28123002_8_8;2018;2;1;70;V;63;V;52;V;46;V;46;V;50;V;66;V;93;V;82;V;107;V;85;V;59;V;49;V;59;V;66;V;80;V;66;V;79;V;27;V;32;V;44;V;37;V;27;V;17;V
28;123;2;10;28123002_10_49;2018;2;1;42;V;39;V;43;V;34;V;32;V;50;V;52;V;61;V;72;V;75;V;90;V;71;V;48;V;36;V;43;V;30;V;21;V;11;V;23;V;11;V;4;V;1;V;4;V;3;V
28;123;2;12;28123002_12_8;2018;2;1;171;V;195;V;125;V;106;V;138;V;183;V;355;V;550;V;420;V;649;V;408;V;154;V;107;V;150;V;140;V;156;V;103;V;127;V;45;V;55;V;62;V;50;V;33;V;21;V
28;123;2;14;28123002_14_8;2018;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;11;V;15;V;18;V;10;V;22;V;17;V;54;V;46;V;36;V;39;V;46;V;55;V
28;123;2;14;28123002_14_6;2018;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;12;V;16;V;19;V;10;V;23;V;17;V;56;V;48;V;37;V;41;V;48;V;58;V
