provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2020;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2020;2;1;0.5;V;0.4;V;0.5;V;0.4;V;0.4;V;0.5;V;0.5;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V
28;102;1;7;28102001_7_8;2020;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2020;2;1;4;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;3;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;4;V;3;V
28;102;1;10;28102001_10_49;2020;2;1;7;V;4;V;4;V;7;V;3;V;1;V;3;V;2;V;4;V;1;V;1;V;1;V;4;V;13;V;7;V;8;V;6;V;7;V;9;V;7;V;4;V;3;V;6;V;5;V
28;102;1;12;28102001_12_8;2020;2;1;6;V;5;V;5;V;6;V;5;V;5;V;5;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;6;V;6;V;5;V
28;102;1;14;28102001_14_6;2020;2;1;43;V;45;V;44;V;42;V;43;V;44;V;43;V;43;V;44;V;46;V;47;V;51;V;57;V;60;V;62;V;62;V;59;V;56;V;52;V;50;V;45;V;44;V;41;V;42;V
28;120;1;7;28120001_7_8;2020;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2020;2;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;120;1;9;28120001_9_49;2020;2;1;4;V;3;V;2;V;2;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;4;V;6;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;11;V
28;120;1;10;28120001_10_49;2020;2;1;11;V;7;V;3;V;3;V;4;V;2;V;2;V;3;V;8;V;2;V;2;V;4;V;4;V;3;V;3;V;3;V;6;V;2;V;3;V;4;V;3;V;5;V;3;V;1;V
28;120;1;12;28120001_12_8;2020;2;1;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V
28;120;1;14;28120001_14_6;2020;2;1;68;V;65;V;64;V;64;V;68;V;70;V;70;V;72;V;74;V;75;V;74;V;78;V;79;V;80;V;78;V;77;V;76;V;77;V;76;V;80;V;80;V;79;V;76;V;74;V
28;123;2;7;28123002_7_8;2020;2;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;4;V;6;V;7;V;4;V;3;V;3;V;2;V;2;V;1;V;2;V;2;V;2;V;1;V;3;V;3;V
28;123;2;8;28123002_8_8;2020;2;1;9;V;7;V;12;V;7;V;11;V;10;V;16;V;19;V;17;V;16;V;14;V;14;V;9;V;7;V;8;V;8;V;10;V;15;V;25;V;27;V;24;V;21;V;22;V;25;V
28;123;2;10;28123002_10_49;2020;2;1;15;V;13;V;11;V;10;V;10;V;7;V;4;V;5;V;6;V;3;V;4;V;3;V;1;V;3;V;4;V;2;V;3;V;9;V;12;V;12;V;12;V;10;V;12;V;11;V
28;123;2;12;28123002_12_8;2020;2;1;11;V;9;V;14;V;9;V;13;V;12;V;19;V;24;V;22;V;22;V;23;V;25;V;15;V;12;V;13;V;11;V;13;V;17;V;28;V;30;V;27;V;23;V;27;V;30;V
28;123;2;14;28123002_14_6;2020;2;1;35;V;37;V;37;V;38;V;41;V;39;V;30;V;28;V;32;V;35;V;39;V;43;V;48;V;55;V;57;V;57;V;53;V;43;V;31;V;26;V;25;V;26;V;24;V;20;V
28;123;2;14;28123002_14_8;2020;2;1;33;V;35;V;35;V;36;V;39;V;37;V;29;V;27;V;30;V;33;V;37;V;41;V;46;V;52;V;54;V;54;V;51;V;41;V;29;V;25;V;24;V;24;V;23;V;19;V
28;13;2;7;28013002_7_8;2020;2;1;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;2;V
28;13;2;8;28013002_8_8;2020;2;1;8;V;8;V;10;V;7;V;6;V;8;V;7;V;8;V;10;V;12;V;12;V;8;V;8;V;7;V;5;V;5;V;7;V;15;V;21;V;21;V;19;V;15;V;14;V;15;V
28;13;2;10;28013002_10_49;2020;2;1;9;V;7;V;8;V;6;V;9;V;9;V;12;V;10;V;5;V;3;V;7;V;5;V;3;V;3;V;3;V;2;V;5;V;7;V;9;V;3;V;16;V;12;V;13;V;4;V
28;13;2;12;28013002_12_8;2020;2;1;10;V;10;V;12;V;9;V;8;V;11;V;10;V;11;V;13;V;17;V;17;V;13;V;13;V;12;V;8;V;8;V;10;V;18;V;26;V;26;V;24;V;20;V;19;V;18;V
28;13;2;14;28013002_14_6;2020;2;1;31;V;30;V;24;V;32;V;34;V;34;V;34;V;34;V;36;V;37;V;38;V;45;V;47;V;51;V;54;V;53;V;49;V;40;V;32;V;29;V;28;V;31;V;32;V;26;V
28;133;2;7;28133002_7_8;2020;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V
28;133;2;8;28133002_8_8;2020;2;1;3;V;3;V;2;V;2;V;3;V;3;V;5;V;5;V;4;V;3;V;4;V;3;V;4;V;3;V;2;V;3;V;3;V;5;V;4;V;5;V;5;V;7;V;5;V;4;V
28;133;2;10;28133002_10_49;2020;2;1;8;V;9;V;11;V;9;V;8;V;8;V;4;V;4;V;9;V;9;V;6;V;7;V;3;V;2;V;3;V;1;V;1;V;2;V;3;V;7;V;12;V;12;V;16;V;17;V
