PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2018;3;1;3;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;;N;;N;;N;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V
28;102;1;6;28102001_6_48;2018;3;1;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;;N;;N;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.6;V;0.6;V;0.6;V
28;102;1;7;28102001_7_8;2018;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2018;3;1;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;;N;;N;3;V;3;V;3;V;3;V;3;V;3;V;2;V;3;V;4;V;3;V;5;V;4;V;4;V;4;V
28;102;1;10;28102001_10_49;2018;3;1;4;V;9;V;4;V;2;V;3;V;3;V;8;V;9;V;;N;;N;1;V;19;V;17;V;2;V;2;V;2;V;3;V;7;V;18;V;19;V;8;V;8;V;11;V;9;V
28;102;1;12;28102001_12_8;2018;3;1;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;;N;;N;5;V;5;V;5;V;5;V;5;V;5;V;4;V;5;V;6;V;5;V;7;V;6;V;6;V;6;V
28;102;1;14;28102001_14_6;2018;3;1;84;V;84;V;82;V;84;V;84;V;81;V;75;V;75;V;;N;;N;84;V;89;V;98;V;101;V;103;V;104;V;105;V;101;V;94;V;87;V;83;V;82;V;80;V;78;V
28;123;2;7;28123002_7_8;2018;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;3;V;2;V;3;V;3;V;2;V;2;V;2;V;1;V;3;V;3;V;3;V;2;V;2;V;1;V;1;V
28;123;2;8;28123002_8_8;2018;3;1;8;V;9;V;4;V;4;V;6;V;8;V;19;V;21;V;30;V;28;V;16;V;18;V;17;V;15;V;9;V;12;V;14;V;25;V;24;V;19;V;21;V;17;V;14;V;13;V
28;123;2;10;28123002_10_49;2018;3;1;4;V;4;V;4;V;1;V;1;V;3;V;3;V;6;V;6;V;8;V;6;V;5;V;4;V;4;V;3;V;1;V;2;V;10;V;7;V;11;V;11;V;12;V;13;V;12;V
28;123;2;12;28123002_12_8;2018;3;1;10;V;11;V;6;V;6;V;8;V;10;V;21;V;25;V;36;V;33;V;20;V;22;V;21;V;17;V;13;V;14;V;17;V;30;V;30;V;23;V;24;V;20;V;16;V;15;V
28;123;2;14;28123002_14_6;2018;3;1;75;V;71;V;77;V;77;V;76;V;71;V;58;V;54;V;44;V;48;V;63;V;63;V;71;V;81;V;95;V;96;V;92;V;79;V;71;V;72;V;68;V;68;V;68;V;66;V
28;123;2;14;28123002_14_8;2018;3;1;72;V;68;V;74;V;74;V;73;V;68;V;56;V;52;V;43;V;46;V;61;V;60;V;67;V;77;V;90;V;92;V;89;V;76;V;67;V;69;V;64;V;65;V;64;V;63;V
28;13;2;7;28013002_7_8;2018;3;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2018;3;1;6;V;3;V;3;V;3;V;4;V;6;V;7;V;13;V;12;V;8;V;8;V;8;V;7;V;13;V;9;V;12;V;13;V;16;V;15;V;12;V;10;V;9;V;7;V;6;V
28;13;2;10;28013002_10_49;2018;3;1;2;V;3;V;4;V;3;V;4;V;1;V;8;V;6;V;7;V;7;V;6;V;4;V;2;V;1;V;8;V;3;V;6;V;8;V;9;V;9;V;11;V;11;V;7;V;11;V
28;13;2;12;28013002_12_8;2018;3;1;8;V;5;V;5;V;5;V;6;V;8;V;10;V;18;V;16;V;11;V;11;V;11;V;10;V;17;V;13;V;15;V;16;V;19;V;18;V;15;V;13;V;11;V;9;V;8;V
28;13;2;14;28013002_14_6;2018;3;1;87;V;91;V;89;V;87;V;87;V;83;V;77;V;70;V;70;V;77;V;81;V;87;V;100;V;98;V;105;V;102;V;101;V;92;V;85;V;85;V;88;V;85;V;86;V;87;V
28;133;2;7;28133002_7_8;2018;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2018;3;1;3;V;3;V;2;V;2;V;2;V;3;V;4;V;6;V;8;V;6;V;7;V;7;V;6;V;9;V;9;V;7;V;5;V;6;V;5;V;6;V;4;V;4;V;3;V;3;V
28;133;2;10;28133002_10_49;2018;3;1;5;V;6;V;3;V;5;V;6;V;2;V;2;V;22;V;1;V;1;V;4;V;2;V;2;V;3;V;2;V;4;V;16;V;6;V;7;V;2;V;12;V;25;V;10;V;7;V
28;133;2;12;28133002_12_8;2018;3;1;5;V;5;V;4;V;4;V;4;V;5;V;6;V;9;V;11;V;8;V;10;V;9;V;8;V;11;V;12;V;9;V;7;V;8;V;7;V;8;V;6;V;6;V;5;V;5;V
28;133;2;14;28133002_14_6;2018;3;1;84;V;86;V;85;V;83;V;88;V;86;V;83;V;83;V;80;V;81;V;79;V;86;V;101;V;100;V;99;V;107;V;104;V;94;V;86;V;88;V;80;V;78;V;75;V;74;V
28;14;2;7;28014002_7_8;2018;3;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;3;V;4;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2018;3;1;4;V;3;V;3;V;3;V;3;V;5;V;9;V;11;V;10;V;8;V;11;V;10;V;8;V;8;V;8;V;15;V;9;V;10;V;8;V;5;V;10;V;5;V;4;V;4;V
28;14;2;10;28014002_10_49;2018;3;1;5;V;7;V;2;V;4;V;2;V;3;V;3;V;8;V;7;V;6;V;6;V;6;V;2;V;5;V;5;V;3;V;2;V;8;V;7;V;11;V;8;V;7;V;14;V;10;V
28;14;2;12;28014002_12_8;2018;3;1;6;V;5;V;5;V;5;V;5;V;7;V;11;V;14;V;13;V;12;V;15;V;14;V;11;V;11;V;12;V;21;V;13;V;13;V;11;V;8;V;12;V;7;V;6;V;6;V
28;14;2;14;28014002_14_6;2018;3;1;77;V;76;V;77;V;78;V;78;V;73;V;66;V;64;V;63;V;68;V;69;V;74;V;84;V;90;V;94;V;90;V;94;V;90;V;84;V;82;V;78;V;79;V;77;V;75;V
28;148;4;7;28148004_7_8;2018;3;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;3;V;2;V;2;V;3;V;3;V;4;V;2;V;2;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2018;3;1;7;V;4;V;3;V;4;V;4;V;8;V;17;V;20;V;15;V;11;V;9;V;19;V;19;V;33;V;12;V;17;V;35;V;22;V;22;V;13;V;18;V;15;V;13;V;11;V
28;148;4;9;28148004_9_49;2018;3;1;1;V;13;V;9;V;3;V;1;V;2;V;2;V;2;V;6;V;7;V;4;V;4;V;6;V;17;V;5;V;6;V;8;V;3;V;3;V;8;V;3;V;8;V;9;V;7;V
28;148;4;10;28148004_10_49;2018;3;1;3;V;1;V;6;V;2;V;9;V;2;V;5;V;3;V;7;V;6;V;5;V;4;V;4;V;3;V;3;V;6;V;10;V;14;V;16;V;16;V;2;V;5;V;4;V;15;V
28;148;4;12;28148004_12_8;2018;3;1;9;V;6;V;5;V;6;V;6;V;10;V;20;V;26;V;20;V;14;V;12;V;23;V;24;V;39;V;16;V;20;V;39;V;25;V;25;V;15;V;20;V;17;V;15;V;13;V
28;148;4;14;28148004_14_6;2018;3;1;78;V;82;V;82;V;81;V;80;V;75;V;64;V;60;V;63;V;70;V;75;V;66;V;72;V;67;V;95;V;94;V;77;V;83;V;76;V;81;V;76;V;73;V;74;V;73;V
28;16;1;1;28016001_1_38;2018;3;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;16;1;6;28016001_6_48;2018;3;1;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;16;1;7;28016001_7_8;2018;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2018;3;1;10;V;6;V;3;V;2;V;2;V;2;V;3;V;3;V;5;V;4;V;3;V;4;V;5;V;8;V;12;V;14;V;7;V;4;V;3;V;2;V;2;V;2;V;3;V;3;V
28;16;1;9;28016001_9_49;2018;3;1;2;V;2;V;5;V;2;V;2;V;3;V;2;V;5;V;1;V;2;V;1;V;3;V;5;V;6;V;2;V;2;V;1;V;3;V;7;V;5;V;2;V;4;V;5;V;3;V
28;16;1;10;28016001_10_49;2018;3;1;11;V;18;V;5;V;3;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;3;V;4;V;2;V;4;V;3;V;2;V;4;V;4;V;2;V;4;V;7;V;4;V
28;16;1;12;28016001_12_8;2018;3;1;12;V;8;V;5;V;4;V;4;V;4;V;5;V;5;V;7;V;6;V;5;V;6;V;7;V;10;V;14;V;16;V;9;V;6;V;5;V;4;V;4;V;4;V;5;V;5;V
28;16;1;14;28016001_14_6;2018;3;1;77;V;84;V;87;V;87;V;87;V;86;V;84;V;82;V;80;V;76;V;78;V;83;V;85;V;94;V;92;V;93;V;107;V;105;V;99;V;93;V;91;V;88;V;84;V;85;V
28;16;1;20;28016001_20_59;2018;3;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
