provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2020;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2020;1;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;102;1;7;28102001_7_8;2020;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2020;1;1;8;V;8;V;7;V;6;V;6;V;6;V;7;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;7;V;8;V;8;V;8;V;9;V;10;V;8;V
28;102;1;10;28102001_10_49;2020;1;1;8;V;15;V;13;V;11;V;12;V;16;V;17;V;20;V;11;V;2;V;1;V;1;V;9;V;9;V;8;V;7;V;14;V;22;V;22;V;16;V;16;V;17;V;17;V;17;V
28;102;1;12;28102001_12_8;2020;1;1;10;V;10;V;9;V;8;V;8;V;8;V;9;V;8;V;7;V;7;V;7;V;8;V;7;V;7;V;7;V;7;V;8;V;9;V;10;V;10;V;10;V;11;V;12;V;10;V
28;102;1;14;28102001_14_6;2020;1;1;39;V;39;V;40;V;39;V;37;V;38;V;29;V;30;V;32;V;31;V;25;V;24;V;31;V;49;V;56;V;60;V;52;V;53;V;51;V;52;V;50;V;42;V;41;V;39;V
28;120;1;7;28120001_7_8;2020;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2020;1;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;120;1;9;28120001_9_49;2020;1;1;8;V;3;V;2;V;3;V;2;V;1;V;2;V;2;V;2;V;9;V;10;V;10;V;8;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V
28;120;1;10;28120001_10_49;2020;1;1;2;V;4;V;4;V;3;V;3;V;3;V;2;V;3;V;3;V;9;V;8;V;7;V;1;V;8;V;7;V;3;V;3;V;2;V;1;V;2;V;2;V;2;V;3;V;1;V
28;120;1;12;28120001_12_8;2020;1;1;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V
28;120;1;14;28120001_14_6;2020;1;1;82;V;80;V;85;V;82;V;84;V;91;V;91;V;94;V;92;V;88;V;91;V;89;V;87;V;83;V;84;V;83;V;82;V;87;V;90;V;93;V;105;V;101;V;102;V;103;V
28;123;2;7;28123002_7_8;2020;1;1;111;V;122;V;77;V;42;V;16;V;15;V;11;V;12;V;15;V;13;V;11;V;9;V;12;V;20;V;18;V;13;V;6;V;92;V;139;V;172;V;166;V;121;V;107;V;80;V
28;123;2;8;28123002_8_8;2020;1;1;54;V;48;V;42;V;35;V;31;V;31;V;29;V;27;V;23;V;17;V;15;V;14;V;19;V;31;V;35;V;40;V;35;V;65;V;64;V;65;V;64;V;62;V;53;V;46;V
28;123;2;10;28123002_10_49;2020;1;1;97;V;90;V;80;V;59;V;37;V;25;V;20;V;17;V;18;V;11;V;12;V;13;V;14;V;20;V;29;V;31;V;31;V;42;V;71;V;104;V;113;V;108;V;81;V;64;V
