PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2018;11;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2018;11;1;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2018;11;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;4;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2018;11;1;8;V;9;V;9;V;11;V;20;V;16;V;12;V;8;V;7;V;6;V;6;V;4;V;4;V;4;V;5;V;4;V;5;V;5;V;7;V;6;V;8;V;8;V;8;V;8;V
28;102;1;10;28102001_10_49;2018;11;1;19;V;22;V;11;V;10;V;12;V;9;V;16;V;15;V;7;V;4;V;5;V;25;V;16;V;7;V;5;V;6;V;7;V;9;V;9;V;9;V;3;V;5;V;9;V;5;V
28;102;1;12;28102001_12_8;2018;11;1;10;V;11;V;11;V;13;V;22;V;18;V;14;V;11;V;11;V;11;V;12;V;6;V;6;V;6;V;7;V;6;V;7;V;7;V;9;V;8;V;10;V;10;V;10;V;10;V
28;102;1;14;28102001_14_6;2018;11;1;44;V;37;V;38;V;29;V;27;V;24;V;30;V;29;V;27;V;28;V;42;V;64;V;72;V;74;V;73;V;79;V;80;V;76;V;74;V;70;V;63;V;62;V;60;V;55;V
28;123;2;7;28123002_7_8;2018;11;1;7;V;14;V;15;V;4;V;8;V;5;V;15;V;7;V;7;V;7;V;7;V;6;V;4;V;4;V;2;V;2;V;2;V;3;V;4;V;8;V;3;V;5;V;6;V;3;V
28;123;2;8;28123002_8_8;2018;11;1;39;V;42;V;38;V;26;V;26;V;25;V;30;V;22;V;14;V;11;V;12;V;13;V;9;V;9;V;7;V;8;V;13;V;32;V;45;V;62;V;46;V;49;V;49;V;41;V
28;123;2;10;28123002_10_49;2018;11;1;16;V;13;V;16;V;18;V;16;V;12;V;17;V;15;V;12;V;6;V;7;V;8;V;4;V;5;V;7;V;5;V;6;V;7;V;12;V;19;V;23;V;15;V;13;V;16;V
28;123;2;12;28123002_12_8;2018;11;1;49;V;63;V;60;V;32;V;39;V;33;V;52;V;33;V;24;V;21;V;22;V;22;V;15;V;15;V;10;V;11;V;15;V;36;V;51;V;74;V;50;V;56;V;58;V;46;V
28;123;2;14;28123002_14_8;2018;11;1;6;V;4;V;5;V;9;V;5;V;4;V;2;V;8;V;18;V;26;V;32;V;43;V;49;V;54;V;62;V;64;V;62;V;46;V;31;V;13;V;17;V;11;V;11;V;15;V
28;123;2;14;28123002_14_6;2018;11;1;6;V;4;V;6;V;8;V;5;V;4;V;2;V;9;V;20;V;30;V;37;V;49;V;55;V;60;V;67;V;70;V;67;V;49;V;33;V;14;V;17;V;11;V;11;V;15;V
28;13;2;7;28013002_7_8;2018;11;1;5;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;5;V;4;V;5;V;4;V;3;V;2;V;2;V;2;V;2;V;6;V;4;V;3;V;2;V;2;V;1;V;1;V
28;13;2;8;28013002_8_8;2018;11;1;28;V;16;V;13;V;12;V;12;V;17;V;26;V;24;V;16;V;11;V;11;V;8;V;8;V;7;V;6;V;8;V;15;V;46;V;40;V;26;V;20;V;21;V;18;V;14;V
28;13;2;10;28013002_10_49;2018;11;1;10;V;13;V;12;V;12;V;10;V;10;V;11;V;12;V;10;V;11;V;10;V;8;V;8;V;4;V;5;V;6;V;4;V;5;V;8;V;9;V;10;V;10;V;8;V;9;V
28;13;2;12;28013002_12_8;2018;11;1;36;V;19;V;15;V;14;V;14;V;20;V;30;V;30;V;24;V;18;V;19;V;14;V;13;V;10;V;9;V;11;V;18;V;55;V;46;V;30;V;23;V;24;V;20;V;16;V
28;13;2;14;28013002_14_6;2018;11;1;11;V;31;V;33;V;32;V;33;V;29;V;22;V;26;V;37;V;41;V;41;V;49;V;55;V;63;V;66;V;69;V;63;V;29;V;32;V;40;V;46;V;41;V;41;V;42;V
28;133;2;7;28133002_7_8;2018;11;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;1;V;2;V;2;V
28;133;2;8;28133002_8_8;2018;11;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;5;V;4;V;4;V;5;V;8;V;8;V;12;V;14;V;11;V;13;V;7;V
28;133;2;10;28133002_10_49;2018;11;1;8;V;11;V;14;V;11;V;13;V;13;V;9;V;5;V;6;V;12;V;7;V;7;V;5;V;4;V;5;V;1;V;2;V;6;V;7;V;14;V;15;V;17;V;22;V;21;V
28;133;2;12;28133002_12_8;2018;11;1;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;7;V;6;V;7;V;7;V;10;V;11;V;16;V;18;V;14;V;16;V;9;V
28;133;2;14;28133002_14_6;2018;11;1;58;V;52;V;55;V;45;V;36;V;54;V;60;V;61;V;55;V;59;V;64;V;67;V;70;V;60;V;70;V;70;V;67;V;56;V;57;V;52;V;46;V;43;V;37;V;45;V
28;14;2;7;28014002_7_8;2018;11;1;3;V;3;V;2;V;4;V;2;V;4;V;6;V;10;V;6;V;9;V;5;V;4;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V
28;14;2;8;28014002_8_8;2018;11;1;23;V;25;V;18;V;26;V;19;V;20;V;18;V;21;V;12;V;12;V;9;V;8;V;5;V;5;V;5;V;5;V;9;V;20;V;30;V;29;V;23;V;25;V;21;V;14;V
28;14;2;10;28014002_10_49;2018;11;1;14;V;16;V;14;V;15;V;14;V;13;V;12;V;16;V;17;V;15;V;16;V;7;V;4;V;8;V;4;V;6;V;5;V;4;V;3;V;11;V;10;V;13;V;9;V;9;V
28;14;2;12;28014002_12_8;2018;11;1;27;V;29;V;22;V;32;V;22;V;26;V;27;V;36;V;21;V;26;V;16;V;13;V;8;V;8;V;7;V;7;V;11;V;22;V;32;V;31;V;26;V;29;V;23;V;16;V
28;14;2;14;28014002_14_6;2018;11;1;14;V;5;V;14;V;3;V;8;V;4;V;7;V;8;V;24;V;29;V;43;V;50;V;63;V;65;V;70;V;73;V;69;V;57;V;42;V;39;V;41;V;31;V;34;V;42;V
28;148;4;7;28148004_7_8;2018;11;1;4;V;2;V;3;V;1;V;1;V;2;V;3;V;5;V;6;V;6;V;4;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;3;V;2;V;2;V;2;V;1;V;2;V
28;148;4;8;28148004_8_8;2018;11;1;30;V;24;V;22;V;15;V;18;V;21;V;19;V;18;V;14;V;13;V;12;V;10;V;9;V;8;V;7;V;9;V;9;V;21;V;33;V;36;V;37;V;34;V;29;V;33;V
28;148;4;9;28148004_9_49;2018;11;1;11;V;15;V;16;V;21;V;13;V;9;V;16;V;15;V;15;V;14;V;13;V;10;V;4;V;6;V;14;V;6;V;1;V;2;V;5;V;10;V;10;V;31;V;23;V;13;V
28;148;4;10;28148004_10_49;2018;11;1;18;V;17;V;17;V;18;V;13;V;12;V;16;V;12;V;15;V;12;V;13;V;11;V;10;V;6;V;11;V;9;V;8;V;8;V;11;V;12;V;12;V;14;V;15;V;19;V
28;148;4;12;28148004_12_8;2018;11;1;35;V;28;V;26;V;17;V;20;V;24;V;24;V;27;V;23;V;22;V;18;V;15;V;13;V;11;V;9;V;11;V;11;V;23;V;37;V;39;V;40;V;38;V;31;V;37;V
28;148;4;14;28148004_14_6;2018;11;1;9;V;11;V;11;V;16;V;8;V;6;V;7;V;10;V;22;V;29;V;40;V;48;V;57;V;61;V;69;V;68;V;67;V;51;V;36;V;27;V;21;V;19;V;18;V;13;V
28;16;1;1;28016001_1_38;2018;11;1;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;16;1;6;28016001_6_48;2018;11;1;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
