provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2019;3;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V
28;102;1;6;28102001_6_48;2019;3;1;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2019;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2019;3;1;7;V;5;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;4;V;3;V;3;V;3;V;6;V;13;V;9;V;8;V;12;V;16;V;17;V;14;V;15;V;10;V;11;V
28;102;1;10;28102001_10_49;2019;3;1;13;V;17;V;20;V;17;V;17;V;17;V;16;V;16;V;16;V;8;V;6;V;8;V;4;V;13;V;18;V;23;V;19;V;18;V;26;V;35;V;27;V;24;V;23;V;20;V
28;102;1;12;28102001_12_8;2019;3;1;9;V;7;V;6;V;6;V;6;V;6;V;6;V;5;V;5;V;6;V;5;V;5;V;5;V;8;V;15;V;11;V;10;V;14;V;18;V;19;V;16;V;17;V;12;V;13;V
28;102;1;14;28102001_14_6;2019;3;1;81;V;85;V;84;V;85;V;86;V;86;V;85;V;84;V;85;V;80;V;92;V;100;V;105;V;105;V;100;V;108;V;109;V;100;V;91;V;89;V;92;V;86;V;82;V;73;V
28;120;1;7;28120001_7_8;2019;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2019;3;1;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;3;V;3;V;2;V;2;V;3;V;4;V;5;V;4;V;4;V;3;V;3;V;3;V
28;120;1;9;28120001_9_49;2019;3;1;10;V;5;V;3;V;16;V;2;V;1;V;1;V;1;V;16;V;8;V;1;V;1;V;3;V;13;V;5;V;1;V;2;V;3;V;6;V;7;V;12;V;23;V;5;V;1;V
28;120;1;10;28120001_10_49;2019;3;1;1;V;1;V;6;V;6;V;2;V;2;V;2;V;2;V;3;V;7;V;9;V;11;V;10;V;11;V;13;V;13;V;15;V;14;V;15;V;17;V;17;V;20;V;19;V;17;V
28;120;1;12;28120001_12_8;2019;3;1;4;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;4;V;5;V;3;V;4;V;5;V;5;V;4;V;4;V;5;V;6;V;7;V;6;V;6;V;5;V;5;V;5;V
28;120;1;14;28120001_14_6;2019;3;1;95;V;99;V;96;V;94;V;94;V;96;V;98;V;99;V;105;V;108;V;105;V;103;V;103;V;103;V;101;V;101;V;99;V;99;V;100;V;97;V;97;V;100;V;97;V;100;V
28;123;2;7;28123002_7_8;2019;3;1;15;V;2;V;1;V;1;V;2;V;14;V;50;V;41;V;33;V;24;V;18;V;11;V;6;V;6;V;4;V;5;V;3;V;3;V;15;V;18;V;13;V;30;V;24;V;57;V
28;123;2;8;28123002_8_8;2019;3;1;65;V;36;V;23;V;18;V;25;V;42;V;65;V;59;V;47;V;40;V;36;V;27;V;20;V;23;V;21;V;31;V;31;V;52;V;91;V;92;V;81;V;90;V;81;V;86;V
28;123;2;10;28123002_10_49;2019;3;1;58;V;38;V;30;V;27;V;27;V;29;V;31;V;35;V;35;V;37;V;28;V;24;V;20;V;26;V;26;V;21;V;24;V;28;V;41;V;64;V;61;V;66;V;71;V;67;V
28;123;2;12;28123002_12_8;2019;3;1;88;V;38;V;25;V;20;V;29;V;64;V;142;V;122;V;97;V;76;V;64;V;43;V;29;V;31;V;26;V;38;V;36;V;57;V;113;V;119;V;101;V;137;V;117;V;174;V
28;123;2;14;28123002_14_6;2019;3;1;6;V;26;V;36;V;39;V;29;V;13;V;1;V;6;V;22;V;36;V;47;V;60;V;81;V;88;V;93;V;84;V;82;V;61;V;20;V;15;V;16;V;5;V;5;V;1;V
28;123;2;14;28123002_14_8;2019;3;1;6;V;27;V;38;V;42;V;31;V;15;V;1;V;7;V;23;V;37;V;49;V;62;V;84;V;92;V;98;V;89;V;87;V;65;V;23;V;16;V;19;V;5;V;6;V;1;V
28;13;2;7;28013002_7_8;2019;3;1;2;V;2;V;2;V;2;V;3;V;4;V;9;V;15;V;17;V;7;V;4;V;2;V;3;V;2;V;2;V;2;V;2;V;5;V;31;V;5;V;2;V;2;V;2;V;2;V
28;13;2;8;28013002_8_8;2019;3;1;25;V;19;V;20;V;21;V;23;V;24;V;29;V;26;V;23;V;19;V;17;V;16;V;19;V;14;V;16;V;23;V;31;V;64;V;116;V;73;V;49;V;40;V;33;V;34;V
28;13;2;10;28013002_10_49;2019;3;1;36;V;38;V;36;V;35;V;31;V;27;V;31;V;39;V;32;V;44;V;42;V;34;V;29;V;17;V;10;V;20;V;28;V;32;V;41;V;44;V;35;V;28;V;26;V;26;V
28;13;2;12;28013002_12_8;2019;3;1;28;V;22;V;23;V;24;V;21;V;30;V;43;V;48;V;49;V;30;V;23;V;20;V;23;V;17;V;19;V;27;V;34;V;71;V;163;V;81;V;52;V;32;V;36;V;36;V
28;13;2;14;28013002_14_6;2019;3;1;22;V;22;V;18;V;16;V;11;V;10;V;6;V;8;V;12;V;27;V;48;V;72;V;78;V;88;V;89;V;85;V;77;V;50;V;6;V;37;V;51;V;50;V;52;V;45;V
28;133;2;7;28133002_7_8;2019;3;1;1;V;1;V;1;V;1;V;1;V;2;V;1;V;3;V;4;V;3;V;2;V;2;V;1;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2019;3;1;3;V;3;V;2;V;3;V;6;V;11;V;12;V;22;V;18;V;11;V;9;V;7;V;7;V;7;V;5;V;6;V;4;V;4;V;8;V;11;V;12;V;8;V;5;V;3;V
28;133;2;10;28133002_10_49;2019;3;1;19;V;21;V;23;V;20;V;17;V;17;V;19;V;22;V;25;V;31;V;29;V;26;V;21;V;17;V;12;V;10;V;7;V;4;V;2;V;8;V;9;V;11;V;17;V;16;V
28;133;2;12;28133002_12_8;2019;3;1;5;V;5;V;4;V;5;V;8;V;14;V;14;V;27;V;25;V;16;V;12;V;10;V;10;V;10;V;7;V;8;V;6;V;6;V;10;V;14;V;14;V;10;V;7;V;5;V
28;133;2;14;28133002_14_6;2019;3;1;92;V;89;V;88;V;86;V;67;V;61;V;60;V;50;V;59;V;73;V;84;V;109;V;110;V;113;V;117;V;116;V;114;V;109;V;102;V;93;V;89;V;97;V;92;V;90;V
