provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2019;11;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2019;11;1;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V
28;102;1;7;28102001_7_8;2019;11;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2019;11;1;6;V;6;V;8;V;10;V;9;V;11;V;10;V;4;V;5;V;6;V;5;V;4;V;3;V;3;V;3;V;3;V;6;V;3;V;10;V;6;V;8;V;11;V;7;V;9;V
28;102;1;10;28102001_10_49;2019;11;1;12;V;15;V;11;V;11;V;12;V;10;V;9;V;8;V;12;V;2;V;5;V;2;V;4;V;3;V;1;V;3;V;8;V;13;V;13;V;14;V;16;V;18;V;19;V;18;V
28;102;1;12;28102001_12_8;2019;11;1;8;V;8;V;10;V;12;V;11;V;13;V;12;V;6;V;7;V;9;V;7;V;6;V;5;V;5;V;5;V;5;V;8;V;5;V;12;V;8;V;10;V;13;V;9;V;11;V
28;102;1;14;28102001_14_6;2019;11;1;39;V;37;V;31;V;29;V;28;V;28;V;27;V;33;V;33;V;33;V;38;V;42;V;45;V;44;V;47;V;49;V;46;V;44;V;35;V;41;V;42;V;38;V;41;V;40;V
28;120;1;7;28120001_7_8;2019;11;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2019;11;1;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;120;1;9;28120001_9_49;2019;11;1;1;V;1;V;2;V;1;V;1;V;1;V;2;V;1;V;2;V;3;V;4;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;5;V;14;V;1;V;1;V;4;V
28;120;1;10;28120001_10_49;2019;11;1;1;V;4;V;3;V;2;V;1;V;3;V;2;V;1;V;2;V;3;V;2;V;4;V;1;V;2;V;2;V;2;V;2;V;2;V;4;V;3;V;3;V;2;V;3;V;2;V
28;120;1;12;28120001_12_8;2019;11;1;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V
28;120;1;14;28120001_14_6;2019;11;1;61;V;60;V;63;V;64;V;67;V;62;V;66;V;66;V;66;V;67;V;67;V;68;V;67;V;66;V;64;V;65;V;68;V;72;V;73;V;76;V;77;V;78;V;77;V;78;V
28;123;2;7;28123002_7_8;2019;11;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;4;V;5;V;5;V;3;V;2;V;3;V;2;V;2;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V
28;123;2;8;28123002_8_8;2019;11;1;19;V;13;V;12;V;12;V;13;V;14;V;15;V;13;V;11;V;10;V;10;V;7;V;7;V;8;V;7;V;8;V;10;V;15;V;18;V;13;V;12;V;12;V;9;V;9;V
28;123;2;10;28123002_10_49;2019;11;1;17;V;19;V;20;V;18;V;18;V;14;V;11;V;12;V;9;V;2;V;2;V;2;V;2;V;3;V;6;V;5;V;9;V;15;V;19;V;15;V;11;V;18;V;20;V;18;V
28;123;2;12;28123002_12_8;2019;11;1;21;V;15;V;14;V;14;V;15;V;16;V;17;V;18;V;17;V;18;V;18;V;11;V;10;V;12;V;10;V;10;V;12;V;18;V;21;V;16;V;14;V;15;V;11;V;11;V
28;123;2;14;28123002_14_6;2019;11;1;22;V;29;V;26;V;24;V;23;V;21;V;18;V;19;V;25;V;31;V;35;V;39;V;43;V;41;V;43;V;43;V;42;V;29;V;26;V;34;V;40;V;36;V;37;V;36;V
28;123;2;14;28123002_14_8;2019;11;1;19;V;24;V;22;V;20;V;20;V;18;V;15;V;15;V;21;V;26;V;30;V;34;V;38;V;35;V;37;V;38;V;37;V;25;V;22;V;29;V;34;V;31;V;32;V;31;V
28;13;2;7;28013002_7_8;2019;11;1;2;V;2;V;1;V;1;V;1;V;2;V;2;V;3;V;3;V;4;V;3;V;3;V;4;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;13;2;8;28013002_8_8;2019;11;1;10;V;11;V;5;V;7;V;7;V;9;V;8;V;8;V;10;V;12;V;7;V;6;V;10;V;8;V;7;V;6;V;7;V;17;V;11;V;9;V;11;V;15;V;12;V;10;V
28;13;2;10;28013002_10_49;2019;11;1;17;V;17;V;15;V;15;V;13;V;11;V;11;V;10;V;9;V;9;V;7;V;4;V;7;V;6;V;7;V;8;V;15;V;19;V;20;V;14;V;20;V;25;V;22;V;24;V
28;13;2;12;28013002_12_8;2019;11;1;13;V;13;V;8;V;9;V;9;V;12;V;11;V;12;V;15;V;18;V;12;V;11;V;16;V;13;V;10;V;9;V;10;V;20;V;14;V;12;V;14;V;18;V;15;V;13;V
28;13;2;14;28013002_14_6;2019;11;1;29;V;28;V;30;V;28;V;28;V;21;V;25;V;26;V;27;V;27;V;33;V;34;V;35;V;43;V;47;V;47;V;41;V;27;V;34;V;36;V;35;V;28;V;35;V;36;V
28;133;2;7;28133002_7_8;2019;11;1;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2019;11;1;4;V;2;V;2;V;2;V;3;V;3;V;3;V;4;V;3;V;3;V;2;V;3;V;3;V;3;V;2;V;2;V;3;V;3;V;4;V;3;V;4;V;3;V;2;V;2;V
28;133;2;10;28133002_10_49;2019;11;1;14;V;13;V;9;V;5;V;10;V;9;V;5;V;8;V;10;V;7;V;5;V;3;V;4;V;5;V;6;V;5;V;5;V;8;V;8;V;9;V;11;V;12;V;13;V;17;V
28;133;2;12;28133002_12_8;2019;11;1;7;V;4;V;4;V;4;V;5;V;5;V;5;V;6;V;5;V;5;V;4;V;6;V;5;V;6;V;4;V;4;V;5;V;5;V;6;V;5;V;6;V;5;V;4;V;4;V
28;133;2;14;28133002_14_6;2019;11;1;42;V;50;V;53;V;43;V;41;V;44;V;40;V;37;V;36;V;34;V;38;V;38;V;39;V;40;V;44;V;44;V;42;V;42;V;46;V;46;V;47;V;48;V;49;V;45;V
28;14;2;7;28014002_7_8;2019;11;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;3;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2019;11;1;8;V;5;V;6;V;5;V;7;V;8;V;13;V;10;V;7;V;5;V;5;V;4;V;4;V;4;V;4;V;3;V;4;V;7;V;8;V;5;V;4;V;5;V;4;V;3;V
