provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2019;5;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2019;5;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2019;5;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2019;5;1;3;V;4;V;3;V;3;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;3;V;3;V;3;V;6;V;5;V;6;V;7;V;6;V;3;V;3;V
28;102;1;10;28102001_10_49;2019;5;1;6;V;9;V;14;V;10;V;6;V;12;V;15;V;16;V;18;V;15;V;10;V;14;V;4;V;2;V;12;V;10;V;12;V;17;V;14;V;4;V;7;V;8;V;6;V;7;V
28;102;1;12;28102001_12_8;2019;5;1;5;V;6;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;5;V;5;V;5;V;8;V;7;V;8;V;9;V;8;V;5;V;5;V
28;102;1;14;28102001_14_6;2019;5;1;80;V;80;V;80;V;82;V;81;V;72;V;68;V;66;V;77;V;92;V;96;V;101;V;111;V;118;V;121;V;122;V;122;V;110;V;101;V;96;V;92;V;88;V;97;V;94;V
28;120;1;7;28120001_7_8;2019;5;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2019;5;1;3;V;3;V;3;V;3;V;3;V;2;V;2;V;3;V;2;V;3;V;3;V;4;V;4;V;4;V;5;V;4;V;3;V;3;V;4;V;3;V;4;V;4;V;4;V;4;V
28;120;1;9;28120001_9_49;2019;5;1;10;V;11;V;12;V;2;V;1;V;9;V;3;V;1;V;2;V;13;V;7;V;11;V;18;V;10;V;1;V;1;V;1;V;12;V;4;V;2;V;9;V;7;V;1;V;8;V
28;120;1;10;28120001_10_49;2019;5;1;17;V;14;V;5;V;2;V;1;V;10;V;21;V;10;V;1;V;1;V;1;V;6;V;8;V;11;V;10;V;8;V;5;V;5;V;2;V;7;V;5;V;9;V;11;V;10;V
28;120;1;12;28120001_12_8;2019;5;1;5;V;5;V;5;V;5;V;5;V;4;V;4;V;5;V;4;V;5;V;5;V;6;V;6;V;6;V;7;V;6;V;5;V;5;V;6;V;5;V;6;V;6;V;6;V;6;V
28;120;1;14;28120001_14_6;2019;5;1;98;V;90;V;93;V;101;V;99;V;88;V;75;V;83;V;101;V;104;V;105;V;110;V;114;V;113;V;112;V;109;V;106;V;102;V;103;V;102;V;95;V;97;V;94;V;95;V
28;123;2;7;28123002_7_8;2019;5;1;1;V;1;V;1;V;1;V;1;V;2;V;3;V;7;V;5;V;4;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;1;V
28;123;2;8;28123002_8_8;2019;5;1;12;V;13;V;15;V;13;V;16;V;16;V;17;V;21;V;17;V;15;V;10;V;12;V;9;V;7;V;8;V;10;V;11;V;13;V;17;V;15;V;25;V;32;V;16;V;8;V
28;123;2;10;28123002_10_49;2019;5;1;7;V;4;V;11;V;11;V;12;V;11;V;11;V;15;V;17;V;15;V;13;V;16;V;14;V;12;V;11;V;9;V;13;V;7;V;6;V;9;V;10;V;12;V;17;V;13;V
28;123;2;12;28123002_12_8;2019;5;1;14;V;15;V;18;V;15;V;18;V;19;V;22;V;31;V;25;V;21;V;13;V;14;V;11;V;9;V;10;V;12;V;13;V;15;V;19;V;17;V;29;V;35;V;19;V;10;V
28;123;2;14;28123002_14_6;2019;5;1;63;V;58;V;56;V;58;V;54;V;56;V;52;V;47;V;55;V;66;V;86;V;97;V;107;V;111;V;109;V;108;V;99;V;92;V;84;V;87;V;75;V;55;V;61;V;81;V
28;123;2;14;28123002_14_8;2019;5;1;65;V;61;V;58;V;60;V;56;V;58;V;54;V;49;V;57;V;69;V;88;V;101;V;112;V;116;V;115;V;114;V;105;V;97;V;89;V;91;V;80;V;58;V;64;V;85;V
28;13;2;7;28013002_7_8;2019;5;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V
28;13;2;8;28013002_8_8;2019;5;1;16;V;13;V;12;V;12;V;11;V;12;V;12;V;11;V;9;V;9;V;10;V;9;V;8;V;7;V;8;V;8;V;13;V;12;V;15;V;21;V;17;V;19;V;13;V;11;V
28;13;2;10;28013002_10_49;2019;5;1;12;V;14;V;16;V;14;V;12;V;15;V;16;V;15;V;12;V;10;V;11;V;11;V;11;V;10;V;9;V;10;V;14;V;12;V;10;V;11;V;12;V;10;V;8;V;5;V
28;13;2;12;28013002_12_8;2019;5;1;19;V;16;V;15;V;15;V;14;V;15;V;15;V;14;V;12;V;12;V;13;V;12;V;11;V;10;V;11;V;11;V;16;V;15;V;18;V;24;V;20;V;22;V;16;V;13;V
28;13;2;14;28013002_14_6;2019;5;1;40;V;43;V;44;V;40;V;35;V;31;V;34;V;52;V;60;V;65;V;73;V;82;V;94;V;105;V;106;V;108;V;100;V;97;V;88;V;76;V;84;V;76;V;78;V;75;V
28;133;2;7;28133002_7_8;2019;5;1;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
