PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2018;5;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2018;5;1;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2018;5;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2018;5;1;14;V;9;V;6;V;5;V;4;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;4;V;6;V;9;V;8;V;7;V;5;V
28;102;1;10;28102001_10_49;2018;5;1;3;V;12;V;9;V;7;V;9;V;10;V;5;V;1;V;2;V;5;V;8;V;2;V;1;V;2;V;5;V;3;V;5;V;2;V;4;V;6;V;3;V;8;V;8;V;8;V
28;102;1;12;28102001_12_8;2018;5;1;16;V;11;V;8;V;7;V;6;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;6;V;8;V;11;V;10;V;9;V;7;V
28;102;1;14;28102001_14_6;2018;5;1;59;V;58;V;66;V;61;V;55;V;57;V;63;V;70;V;80;V;89;V;94;V;99;V;101;V;102;V;102;V;104;V;103;V;103;V;101;V;91;V;91;V;85;V;85;V;92;V
28;123;2;7;28123002_7_8;2018;5;1;1;V;2;V;1;V;1;V;2;V;3;V;5;V;6;V;4;V;4;V;3;V;4;V;3;V;2;V;1;V;1;V;2;V;3;V;2;V;1;V;6;V;4;V;35;V;31;V
28;123;2;8;28123002_8_8;2018;5;1;33;V;34;V;20;V;14;V;17;V;21;V;20;V;13;V;9;V;9;V;7;V;8;V;9;V;6;V;6;V;7;V;14;V;26;V;26;V;26;V;61;V;44;V;94;V;87;V
28;123;2;10;28123002_10_49;2018;5;1;19;V;19;V;17;V;10;V;9;V;13;V;9;V;5;V;2;V;2;V;2;V;1;V;1;V;1;V;2;V;2;V;2;V;7;V;5;V;10;V;12;V;27;V;21;V;27;V
28;123;2;12;28123002_12_8;2018;5;1;36;V;38;V;22;V;16;V;19;V;25;V;28;V;22;V;16;V;15;V;13;V;13;V;14;V;9;V;9;V;9;V;17;V;31;V;29;V;28;V;70;V;51;V;147;V;133;V
28;123;2;14;28123002_14_8;2018;5;1;36;V;24;V;38;V;55;V;34;V;28;V;32;V;49;V;69;V;82;V;90;V;92;V;93;V;98;V;101;V;101;V;97;V;87;V;86;V;78;V;39;V;52;V;9;V;1;V
28;123;2;14;28123002_14_6;2018;5;1;36;V;24;V;39;V;55;V;34;V;28;V;33;V;50;V;70;V;82;V;90;V;92;V;93;V;97;V;101;V;100;V;96;V;85;V;86;V;77;V;39;V;53;V;8;V;1;V
28;13;2;7;28013002_7_8;2018;5;1;1;V;1;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V
28;13;2;8;28013002_8_8;2018;5;1;13;V;13;V;13;V;9;V;8;V;8;V;6;V;5;V;5;V;3;V;3;V;4;V;3;V;3;V;3;V;5;V;7;V;7;V;10;V;21;V;19;V;23;V;18;V;22;V
28;13;2;10;28013002_10_49;2018;5;1;15;V;20;V;15;V;11;V;9;V;7;V;10;V;8;V;11;V;6;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;2;V;3;V;6;V;6;V;4;V;9;V;8;V
28;13;2;12;28013002_12_8;2018;5;1;15;V;15;V;15;V;11;V;10;V;10;V;9;V;9;V;7;V;5;V;5;V;6;V;5;V;5;V;5;V;7;V;9;V;9;V;12;V;23;V;21;V;25;V;20;V;25;V
28;13;2;14;28013002_14_6;2018;5;1;64;V;60;V;37;V;30;V;22;V;19;V;24;V;42;V;65;V;89;V;100;V;104;V;111;V;115;V;116;V;118;V;115;V;113;V;107;V;87;V;81;V;67;V;71;V;63;V
28;133;2;7;28133002_7_8;2018;5;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2018;5;1;3;V;2;V;2;V;2;V;2;V;3;V;4;V;5;V;5;V;4;V;4;V;5;V;5;V;2;V;3;V;3;V;2;V;3;V;5;V;11;V;12;V;15;V;7;V;7;V
28;133;2;10;28133002_10_49;2018;5;1;1;V;2;V;7;V;5;V;3;V;9;V;5;V;6;V;12;V;12;V;5;V;2;V;4;V;1;V;1;V;5;V;1;V;2;V;1;V;9;V;18;V;26;V;20;V;10;V
28;133;2;12;28133002_12_8;2018;5;1;5;V;4;V;4;V;4;V;4;V;5;V;6;V;7;V;7;V;6;V;7;V;7;V;7;V;4;V;5;V;5;V;4;V;5;V;7;V;13;V;15;V;17;V;9;V;9;V
